"","mgi_symbol","description"
"ENSMUSG00000047446","Arl4a","ADP-ribosylation factor-like 4A [Source:MGI Symbol;Acc:MGI:99437]"
"ENSMUSG00000047454","Gphn","gephyrin [Source:MGI Symbol;Acc:MGI:109602]"
"ENSMUSG00000047462","Gpr141b","G protein-coupled receptor 141B [Source:MGI Symbol;Acc:MGI:2441809]"
"ENSMUSG00000047534","Mis18bp1","MIS18 binding protein 1 [Source:MGI Symbol;Acc:MGI:2145099]"
"ENSMUSG00000047547","Cltb","clathrin light chain B [Source:MGI Symbol;Acc:MGI:1921575]"
"ENSMUSG00000047562","Mmp10","matrix metallopeptidase 10 [Source:MGI Symbol;Acc:MGI:97007]"
"ENSMUSG00000047766","Lrrc49","leucine rich repeat containing 49 [Source:MGI Symbol;Acc:MGI:2442689]"
"ENSMUSG00000047789","Slc38a9","solute carrier family 38, member 9 [Source:MGI Symbol;Acc:MGI:1918839]"
"ENSMUSG00000047798","Cd300lf","CD300 molecule like family member F [Source:MGI Symbol;Acc:MGI:2442359]"
"ENSMUSG00000047804","Akap10","A kinase anchor protein 10 [Source:MGI Symbol;Acc:MGI:1890218]"
"ENSMUSG00000047821","Trim16","tripartite motif-containing 16 [Source:MGI Symbol;Acc:MGI:2137356]"
"ENSMUSG00000047822","Angptl8","angiopoietin-like 8 [Source:MGI Symbol;Acc:MGI:3643534]"
"ENSMUSG00000047832","Cdca4","cell division cycle associated 4 [Source:MGI Symbol;Acc:MGI:1919213]"
"ENSMUSG00000047842","Diras2","DIRAS family, GTP-binding RAS-like 2 [Source:MGI Symbol;Acc:MGI:1915453]"
"ENSMUSG00000047904","Sstr2","somatostatin receptor 2 [Source:MGI Symbol;Acc:MGI:98328]"
"ENSMUSG00000047988","4933428G20Rik","RIKEN cDNA 4933428G20 gene [Source:MGI Symbol;Acc:MGI:1918475]"
"ENSMUSG00000048076","Arf1","ADP-ribosylation factor 1 [Source:MGI Symbol;Acc:MGI:99431]"
"ENSMUSG00000048118","Arid4a","AT-rich interaction domain 4A [Source:MGI Symbol;Acc:MGI:2444354]"
"ENSMUSG00000048264","Dip2c","disco interacting protein 2 homolog C [Source:MGI Symbol;Acc:MGI:1920179]"
"ENSMUSG00000048277","Syngr2","synaptogyrin 2 [Source:MGI Symbol;Acc:MGI:1328324]"
"ENSMUSG00000048280","Zfp738","zinc finger protein 738 [Source:MGI Symbol;Acc:MGI:3040706]"
"ENSMUSG00000048285","Frmd6","FERM domain containing 6 [Source:MGI Symbol;Acc:MGI:2442579]"
"ENSMUSG00000048368","Omd","osteomodulin [Source:MGI Symbol;Acc:MGI:1350918]"
"ENSMUSG00000048376","F2r","coagulation factor II thrombin receptor [Source:MGI Symbol;Acc:MGI:101802]"
"ENSMUSG00000048387","Osr1","odd-skipped related transcription factor 1 [Source:MGI Symbol;Acc:MGI:1344424]"
"ENSMUSG00000048429","Timm29","translocase of inner mitochondrial membrane 29 [Source:MGI Symbol;Acc:MGI:1917023]"
"ENSMUSG00000048442","Smim5","small integral membrane protein 5 [Source:MGI Symbol;Acc:MGI:1913778]"
"ENSMUSG00000048445","Ccdc57","coiled-coil domain containing 57 [Source:MGI Symbol;Acc:MGI:1918526]"
"ENSMUSG00000048497","Mmgt2","membrane magnesium transporter 2 [Source:MGI Symbol;Acc:MGI:2448491]"
"ENSMUSG00000048498","Cd300e","CD300E molecule [Source:MGI Symbol;Acc:MGI:2387602]"
"ENSMUSG00000048503","Tlcd5","TLC domain containing 5 [Source:MGI Symbol;Acc:MGI:2685030]"
"ENSMUSG00000048521","Cxcr6","C-X-C motif chemokine receptor 6 [Source:MGI Symbol;Acc:MGI:1934582]"
"ENSMUSG00000048534","Jaml","junction adhesion molecule like [Source:MGI Symbol;Acc:MGI:2685484]"
"ENSMUSG00000048537","Phldb1","pleckstrin homology like domain, family B, member 1 [Source:MGI Symbol;Acc:MGI:2143230]"
"ENSMUSG00000048562","Sp8","trans-acting transcription factor 8 [Source:MGI Symbol;Acc:MGI:2443471]"
"ENSMUSG00000048603","Gm9828","predicted gene 9828 [Source:MGI Symbol;Acc:MGI:3642913]"
"ENSMUSG00000048732","Klhl11","kelch-like 11 [Source:MGI Symbol;Acc:MGI:2388648]"
"ENSMUSG00000048752","Prss50","serine protease 50 [Source:MGI Symbol;Acc:MGI:2447303]"
"ENSMUSG00000048758","Rpl29","ribosomal protein L29 [Source:MGI Symbol;Acc:MGI:99687]"
"ENSMUSG00000048763","Hoxb3","homeobox B3 [Source:MGI Symbol;Acc:MGI:96184]"
"ENSMUSG00000048807","Slc35e4","solute carrier family 35, member E4 [Source:MGI Symbol;Acc:MGI:2144150]"
"ENSMUSG00000048833","Slc39a9","solute carrier family 39 (zinc transporter), member 9 [Source:MGI Symbol;Acc:MGI:1914820]"
"ENSMUSG00000048852","Gm12185","predicted gene 12185 [Source:MGI Symbol;Acc:MGI:3652173]"
"ENSMUSG00000048856","Slc25a47","solute carrier family 25, member 47 [Source:MGI Symbol;Acc:MGI:2144766]"
"ENSMUSG00000048878","Hexim1","hexamethylene bis-acetamide inducible 1 [Source:MGI Symbol;Acc:MGI:2385923]"
"ENSMUSG00000048895","Cdk5r1","cyclin dependent kinase 5, regulatory subunit 1 [Source:MGI Symbol;Acc:MGI:101764]"
"ENSMUSG00000048924","Ccdc125","coiled-coil domain containing 125 [Source:MGI Symbol;Acc:MGI:1923291]"
"ENSMUSG00000048996","Or1f12","olfactory receptor family 1 subfamily F member 12 [Source:MGI Symbol;Acc:MGI:3031200]"
"ENSMUSG00000049036","Tmem121","transmembrane protein 121 [Source:MGI Symbol;Acc:MGI:1916445]"
"ENSMUSG00000049106","Dcaf5","DDB1 and CUL4 associated factor 5 [Source:MGI Symbol;Acc:MGI:2444785]"
"ENSMUSG00000049233","Apoo-ps","apolipoprotein O, pseudogene [Source:MGI Symbol;Acc:MGI:3649039]"
"ENSMUSG00000049287","Iba57","IBA57 homolog, iron-sulfur cluster assembly [Source:MGI Symbol;Acc:MGI:3041174]"
"ENSMUSG00000049299","Trappc1","trafficking protein particle complex 1 [Source:MGI Symbol;Acc:MGI:1098727]"
"ENSMUSG00000049305","Ccdc71","coiled-coil domain containing 71 [Source:MGI Symbol;Acc:MGI:1919704]"
"ENSMUSG00000049307","Fut4","fucosyltransferase 4 [Source:MGI Symbol;Acc:MGI:95594]"
"ENSMUSG00000049313","Sorl1","sortilin-related receptor, LDLR class A repeats-containing [Source:MGI Symbol;Acc:MGI:1202296]"
"ENSMUSG00000049321","Zfp2","zinc finger protein 2 [Source:MGI Symbol;Acc:MGI:99167]"
"ENSMUSG00000049323","Smcr8","Smith-Magenis syndrome chromosome region, candidate 8 homolog (human) [Source:MGI Symbol;Acc:MGI:2444720]"
"ENSMUSG00000049336","Tenm2","teneurin transmembrane protein 2 [Source:MGI Symbol;Acc:MGI:1345184]"
"ENSMUSG00000049354","Dcaf7","DDB1 and CUL4 associated factor 7 [Source:MGI Symbol;Acc:MGI:1919083]"
"ENSMUSG00000049396","Gemin4","gem nuclear organelle associated protein 4 [Source:MGI Symbol;Acc:MGI:2449313]"
"ENSMUSG00000049427","Gm9837","predicted gene 9837 [Source:MGI Symbol;Acc:MGI:3642517]"
"ENSMUSG00000049470","Aff4","AF4/FMR2 family, member 4 [Source:MGI Symbol;Acc:MGI:2136171]"
"ENSMUSG00000049489","Ccnq","cyclin Q [Source:MGI Symbol;Acc:MGI:1916359]"
"ENSMUSG00000049493","Pls1","plastin 1 (I-isoform) [Source:MGI Symbol;Acc:MGI:104809]"
"ENSMUSG00000049511","Htr1b","5-hydroxytryptamine (serotonin) receptor 1B [Source:MGI Symbol;Acc:MGI:96274]"
"ENSMUSG00000049517","Rps23","ribosomal protein S23 [Source:MGI Symbol;Acc:MGI:1913725]"
"ENSMUSG00000049526","Tmem202","transmembrane protein 202 [Source:MGI Symbol;Acc:MGI:1921143]"
"ENSMUSG00000049539","H1f1","H1.1 linker histone, cluster member [Source:MGI Symbol;Acc:MGI:1931523]"
"ENSMUSG00000049555","Tmie","transmembrane inner ear [Source:MGI Symbol;Acc:MGI:2159400]"
"ENSMUSG00000049588","Ccdc69","coiled-coil domain containing 69 [Source:MGI Symbol;Acc:MGI:1196234]"
"ENSMUSG00000049624","Slc17a5","solute carrier family 17 (anion/sugar transporter), member 5 [Source:MGI Symbol;Acc:MGI:1924105]"
"ENSMUSG00000049658","Bdp1","B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB [Source:MGI Symbol;Acc:MGI:1347077]"
"ENSMUSG00000049659","Aftph","aftiphilin [Source:MGI Symbol;Acc:MGI:1923012]"
"ENSMUSG00000049680","Urgcp","upregulator of cell proliferation [Source:MGI Symbol;Acc:MGI:1919296]"
"ENSMUSG00000049699","Ucn2","urocortin 2 [Source:MGI Symbol;Acc:MGI:2176375]"
"ENSMUSG00000049719","Prss46","serine protease 46 [Source:MGI Symbol;Acc:MGI:1921556]"
"ENSMUSG00000049721","Gal3st1","galactose-3-O-sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1858277]"
"ENSMUSG00000049723","Mmp12","matrix metallopeptidase 12 [Source:MGI Symbol;Acc:MGI:97005]"
"ENSMUSG00000049751","Rpl36al","ribosomal protein L36A-like [Source:MGI Symbol;Acc:MGI:1913733]"
"ENSMUSG00000049755","Zfp672","zinc finger protein 672 [Source:MGI Symbol;Acc:MGI:2442105]"
"ENSMUSG00000049792","Bag5","BCL2-associated athanogene 5 [Source:MGI Symbol;Acc:MGI:1917619]"
"ENSMUSG00000049800","Sertad2","SERTA domain containing 2 [Source:MGI Symbol;Acc:MGI:1931026]"
"ENSMUSG00000049807","Arhgap23","Rho GTPase activating protein 23 [Source:MGI Symbol;Acc:MGI:3697726]"
"ENSMUSG00000049811","Fam161a","family with sequence similarity 161, member A [Source:MGI Symbol;Acc:MGI:1921123]"
"ENSMUSG00000049882","Vcpkmt","valosin containing protein lysine (K) methyltransferase [Source:MGI Symbol;Acc:MGI:2684917]"
"ENSMUSG00000049892","Rasd1","RAS, dexamethasone-induced 1 [Source:MGI Symbol;Acc:MGI:1270848]"
"ENSMUSG00000049904","Tmem17","transmembrane protein 17 [Source:MGI Symbol;Acc:MGI:2144205]"
"ENSMUSG00000049932","H2ax","H2A.X variant histone [Source:MGI Symbol;Acc:MGI:102688]"
"ENSMUSG00000049957","Ccdc137","coiled-coil domain containing 137 [Source:MGI Symbol;Acc:MGI:1914541]"
"ENSMUSG00000049985","Ankrd55","ankyrin repeat domain 55 [Source:MGI Symbol;Acc:MGI:1924568]"
"ENSMUSG00000050002","Idnk","idnK gluconokinase homolog (E. coli) [Source:MGI Symbol;Acc:MGI:1922981]"
"ENSMUSG00000050106","Tmc8","transmembrane channel-like gene family 8 [Source:MGI Symbol;Acc:MGI:2669037]"
"ENSMUSG00000050107","Haspin","histone H3 associated protein kinase [Source:MGI Symbol;Acc:MGI:1194498]"
"ENSMUSG00000050132","Sarm1","sterile alpha and HEAT/Armadillo motif containing 1 [Source:MGI Symbol;Acc:MGI:2136419]"
"ENSMUSG00000050201","Otop2","otopetrin 2 [Source:MGI Symbol;Acc:MGI:2388365]"
"ENSMUSG00000050243","Gm5446","predicted gene 5446 [Source:MGI Symbol;Acc:MGI:3644854]"
"ENSMUSG00000050244","Heatr1","HEAT repeat containing 1 [Source:MGI Symbol;Acc:MGI:2442524]"
"ENSMUSG00000050270","Tmem220","transmembrane protein 220 [Source:MGI Symbol;Acc:MGI:2443691]"
"ENSMUSG00000050288","Fzd2","frizzled class receptor 2 [Source:MGI Symbol;Acc:MGI:1888513]"
"ENSMUSG00000050295","Foxc1","forkhead box C1 [Source:MGI Symbol;Acc:MGI:1347466]"
"ENSMUSG00000050471","Fam118b","family with sequence similarity 118, member B [Source:MGI Symbol;Acc:MGI:1924483]"
"ENSMUSG00000050503","Fbxl22","F-box and leucine-rich repeat protein 22 [Source:MGI Symbol;Acc:MGI:1921415]"
"ENSMUSG00000050538","B230217C12Rik","RIKEN cDNA B230217C12 gene [Source:MGI Symbol;Acc:MGI:1915377]"
"ENSMUSG00000050555","Hyls1","HYLS1, centriolar and ciliogenesis associated [Source:MGI Symbol;Acc:MGI:1924082]"
"ENSMUSG00000050567","Maml1","mastermind like transcriptional coactivator 1 [Source:MGI Symbol;Acc:MGI:1890504]"
"ENSMUSG00000050578","Mmp13","matrix metallopeptidase 13 [Source:MGI Symbol;Acc:MGI:1340026]"
"ENSMUSG00000050621","Rps27rt","ribosomal protein S27, retrogene [Source:MGI Symbol;Acc:MGI:3704345]"
"ENSMUSG00000050627","Gpd1l","glycerol-3-phosphate dehydrogenase 1-like [Source:MGI Symbol;Acc:MGI:1289257]"
"ENSMUSG00000050628","Ubald2","UBA-like domain containing 2 [Source:MGI Symbol;Acc:MGI:1914635]"
"ENSMUSG00000050675","Gp1ba","glycoprotein 1b, alpha polypeptide [Source:MGI Symbol;Acc:MGI:1333744]"
"ENSMUSG00000050721","Plekho2","pleckstrin homology domain containing, family O member 2 [Source:MGI Symbol;Acc:MGI:2143132]"
"ENSMUSG00000050730","Arhgap42","Rho GTPase activating protein 42 [Source:MGI Symbol;Acc:MGI:1918794]"
"ENSMUSG00000050860","Phospho1","phosphatase, orphan 1 [Source:MGI Symbol;Acc:MGI:2447348]"
"ENSMUSG00000050876","Spata31d1a","spermatogenesis associated 31 subfamily D, member 1A [Source:MGI Symbol;Acc:MGI:1919469]"
"ENSMUSG00000050910","Cdr2l","cerebellar degeneration-related protein 2-like [Source:MGI Symbol;Acc:MGI:2684867]"
"ENSMUSG00000050912","Tmem123","transmembrane protein 123 [Source:MGI Symbol;Acc:MGI:1919179]"
"ENSMUSG00000050944","Efcab5","EF-hand calcium binding domain 5 [Source:MGI Symbol;Acc:MGI:2442440]"
"ENSMUSG00000050954","Zfp169","zinc finger protein 169 [Source:MGI Symbol;Acc:MGI:1915161]"
"ENSMUSG00000050965","Prkca","protein kinase C, alpha [Source:MGI Symbol;Acc:MGI:97595]"
"ENSMUSG00000050974","Gm9847","predicted pseudogene 9847 [Source:MGI Symbol;Acc:MGI:3642840]"
"ENSMUSG00000051008","4930412M03Rik","RIKEN cDNA 4930412M03 gene [Source:MGI Symbol;Acc:MGI:2443570]"
"ENSMUSG00000051029","Serpinb1b","serine (or cysteine) peptidase inhibitor, clade B, member 1b [Source:MGI Symbol;Acc:MGI:2445361]"
"ENSMUSG00000051037","Zfp455","zinc finger protein 455 [Source:MGI Symbol;Acc:MGI:3040708]"
"ENSMUSG00000051054","Spata31d1e","spermatogenesis associated 31 subfamily D, member 1E [Source:MGI Symbol;Acc:MGI:1921474]"
"ENSMUSG00000051074","4930579K19Rik","RIKEN cDNA 4930579K19 gene [Source:MGI Symbol;Acc:MGI:1923131]"
"ENSMUSG00000051098","Mblac2","metallo-beta-lactamase domain containing 2 [Source:MGI Symbol;Acc:MGI:1920102]"
"ENSMUSG00000051118","Or7d10","olfactory receptor family 7 subfamily D member 10 [Source:MGI Symbol;Acc:MGI:2153206]"
"ENSMUSG00000051166","Eml5","echinoderm microtubule associated protein like 5 [Source:MGI Symbol;Acc:MGI:2442513]"
"ENSMUSG00000051232","Tmem199","transmembrane protein 199 [Source:MGI Symbol;Acc:MGI:2144113]"
"ENSMUSG00000051234","Rnf7","ring finger protein 7 [Source:MGI Symbol;Acc:MGI:1337096]"
"ENSMUSG00000051235","Gen1","GEN1, Holliday junction 5' flap endonuclease [Source:MGI Symbol;Acc:MGI:2443149]"
"ENSMUSG00000051238","Swsap1","SWIM type zinc finger 7 associated protein 1 [Source:MGI Symbol;Acc:MGI:1914212]"
"ENSMUSG00000051243","Islr2","immunoglobulin superfamily containing leucine-rich repeat 2 [Source:MGI Symbol;Acc:MGI:2444277]"
"ENSMUSG00000051335","Gfod1","glucose-fructose oxidoreductase domain containing 1 [Source:MGI Symbol;Acc:MGI:2145304]"
"ENSMUSG00000051355","Commd1","COMM domain containing 1 [Source:MGI Symbol;Acc:MGI:109474]"
"ENSMUSG00000051378","Kif18b","kinesin family member 18B [Source:MGI Symbol;Acc:MGI:2446979]"
"ENSMUSG00000051427","Ccdc157","coiled-coil domain containing 157 [Source:MGI Symbol;Acc:MGI:3041210]"
"ENSMUSG00000051455","Meioc","meiosis specific with coiled-coil domain [Source:MGI Symbol;Acc:MGI:2686410]"
"ENSMUSG00000051510","Mafg","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian) [Source:MGI Symbol;Acc:MGI:96911]"
"ENSMUSG00000051606","2010001K21Rik","RIKEN cDNA 2010001K21 gene [Source:MGI Symbol;Acc:MGI:1917079]"
"ENSMUSG00000051627","H1f4","H1.4 linker histone, cluster member [Source:MGI Symbol;Acc:MGI:1931527]"
"ENSMUSG00000051650","B3gnt2","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:MGI Symbol;Acc:MGI:1889505]"
"ENSMUSG00000051705","Senp8","SUMO peptidase family member, NEDD8 specific [Source:MGI Symbol;Acc:MGI:1918849]"
"ENSMUSG00000051721","Wdcp","WD repeat and coiled coil containing [Source:MGI Symbol;Acc:MGI:3040699]"
"ENSMUSG00000051723","Rpl31-ps13","ribosomal protein L31, pseudogene 13 [Source:MGI Symbol;Acc:MGI:3809036]"
"ENSMUSG00000051726","Kcnf1","potassium voltage-gated channel, subfamily F, member 1 [Source:MGI Symbol;Acc:MGI:2687399]"
"ENSMUSG00000051790","Nlgn2","neuroligin 2 [Source:MGI Symbol;Acc:MGI:2681835]"
"ENSMUSG00000051832","E230016K23Rik","RIKEN cDNA E230016K23 gene [Source:MGI Symbol;Acc:MGI:3041204]"
"ENSMUSG00000051890","Klhdc1","kelch domain containing 1 [Source:MGI Symbol;Acc:MGI:2672853]"
"ENSMUSG00000052087","Rgs14","regulator of G-protein signaling 14 [Source:MGI Symbol;Acc:MGI:1859709]"
"ENSMUSG00000052143","Gm9869","predicted gene 9869 [Source:MGI Symbol;Acc:MGI:3642719]"
"ENSMUSG00000052160","Pld4","phospholipase D family member 4 [Source:MGI Symbol;Acc:MGI:2144765]"
"ENSMUSG00000052180","Serpinb6c","serine (or cysteine) peptidase inhibitor, clade B, member 6c [Source:MGI Symbol;Acc:MGI:2145481]"
"ENSMUSG00000052293","Taf9","TATA-box binding protein associated factor 9 [Source:MGI Symbol;Acc:MGI:1888697]"
"ENSMUSG00000052298","Cdc42se2","CDC42 small effector 2 [Source:MGI Symbol;Acc:MGI:1919979]"
"ENSMUSG00000052336","Cx3cr1","C-X3-C motif chemokine receptor 1 [Source:MGI Symbol;Acc:MGI:1333815]"
"ENSMUSG00000052373","Mpp3","membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3) [Source:MGI Symbol;Acc:MGI:1328354]"
"ENSMUSG00000052392","Acot4","acyl-CoA thioesterase 4 [Source:MGI Symbol;Acc:MGI:2159621]"
"ENSMUSG00000052485","Tmem171","transmembrane protein 171 [Source:MGI Symbol;Acc:MGI:2685751]"
"ENSMUSG00000052563","D930048N14Rik","RIKEN cDNA D930048N14 gene [Source:MGI Symbol;Acc:MGI:2144709]"
"ENSMUSG00000052565","H1f3","H1.3 linker histone, cluster member [Source:MGI Symbol;Acc:MGI:107502]"
"ENSMUSG00000052593","Adam17","a disintegrin and metallopeptidase domain 17 [Source:MGI Symbol;Acc:MGI:1096335]"
"ENSMUSG00000052609","Plekhg3","pleckstrin homology domain containing, family G (with RhoGef domain) member 3 [Source:MGI Symbol;Acc:MGI:2388284]"
"ENSMUSG00000052673","Gm9887","predicted gene 9887 [Source:MGI Symbol;Acc:MGI:3642578]"
"ENSMUSG00000052698","Tln2","talin 2 [Source:MGI Symbol;Acc:MGI:1917799]"
"ENSMUSG00000052724","Gm9888","predicted gene 9888 [Source:MGI Symbol;Acc:MGI:3642202]"
"ENSMUSG00000052727","Map1b","microtubule-associated protein 1B [Source:MGI Symbol;Acc:MGI:1306778]"
"ENSMUSG00000052812","Atad2b","ATPase family, AAA domain containing 2B [Source:MGI Symbol;Acc:MGI:2444798]"
"ENSMUSG00000052911","Lamb2","laminin, beta 2 [Source:MGI Symbol;Acc:MGI:99916]"
"ENSMUSG00000052915","Msl1","male specific lethal 1 [Source:MGI Symbol;Acc:MGI:1921276]"
"ENSMUSG00000052949","Rnf157","ring finger protein 157 [Source:MGI Symbol;Acc:MGI:2442484]"
"ENSMUSG00000053040","Aph1c","aph1 homolog C, gamma secretase subunit [Source:MGI Symbol;Acc:MGI:1915568]"
"ENSMUSG00000053070","Cfap300","cilia and flagella associated protein 300 [Source:MGI Symbol;Acc:MGI:3045346]"
"ENSMUSG00000053101","Gpr141","G protein-coupled receptor 141 [Source:MGI Symbol;Acc:MGI:2672983]"
"ENSMUSG00000053110","Yap1","yes-associated protein 1 [Source:MGI Symbol;Acc:MGI:103262]"
"ENSMUSG00000053113","Socs3","suppressor of cytokine signaling 3 [Source:MGI Symbol;Acc:MGI:1201791]"
"ENSMUSG00000053128","Rnf26","ring finger protein 26 [Source:MGI Symbol;Acc:MGI:2388131]"
"ENSMUSG00000053181","A830005F24Rik","RIKEN cDNA A830005F24 gene [Source:MGI Symbol;Acc:MGI:3045249]"
"ENSMUSG00000053216","Btn2a2","butyrophilin, subfamily 2, member A2 [Source:MGI Symbol;Acc:MGI:3606486]"
"ENSMUSG00000053263","Gm12592","predicted gene 12592 [Source:MGI Symbol;Acc:MGI:3649892]"
"ENSMUSG00000053289","Ddx10","DEAD box helicase 10 [Source:MGI Symbol;Acc:MGI:1924841]"
"ENSMUSG00000053574","4930563E22Rik","RIKEN cDNA 4930563E22 gene [Source:MGI Symbol;Acc:MGI:1922554]"
"ENSMUSG00000053580","Tanc2","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:MGI Symbol;Acc:MGI:2444121]"
"ENSMUSG00000053641","Dennd4a","DENN domain containing 4A [Source:MGI Symbol;Acc:MGI:2142979]"
"ENSMUSG00000053646","Plxnb1","plexin B1 [Source:MGI Symbol;Acc:MGI:2154238]"
"ENSMUSG00000053716","Dusp7","dual specificity phosphatase 7 [Source:MGI Symbol;Acc:MGI:2387100]"
"ENSMUSG00000053783","Liat1","ligand of ATE1 [Source:MGI Symbol;Acc:MGI:1921480]"
"ENSMUSG00000053797","Krt16","keratin 16 [Source:MGI Symbol;Acc:MGI:96690]"
"ENSMUSG00000053838","Nudcd3","NudC domain containing 3 [Source:MGI Symbol;Acc:MGI:2144158]"
"ENSMUSG00000053889","Kirrel3os","kirre like nephrin family adhesion molecule 3, opposite strand [Source:MGI Symbol;Acc:MGI:3045250]"
"ENSMUSG00000053914","Kdm4d","lysine (K)-specific demethylase 4D [Source:MGI Symbol;Acc:MGI:3606484]"
"ENSMUSG00000054003","Tdrd9","tudor domain containing 9 [Source:MGI Symbol;Acc:MGI:1921941]"
"ENSMUSG00000054013","Tmem179","transmembrane protein 179 [Source:MGI Symbol;Acc:MGI:2144891]"
"ENSMUSG00000054021","Sirt5","sirtuin 5 [Source:MGI Symbol;Acc:MGI:1915596]"
"ENSMUSG00000054079","Utp18","UTP18 small subunit processome component [Source:MGI Symbol;Acc:MGI:1923402]"
"ENSMUSG00000054146","Krt15","keratin 15 [Source:MGI Symbol;Acc:MGI:96689]"
"ENSMUSG00000054150","Syne3","spectrin repeat containing, nuclear envelope family member 3 [Source:MGI Symbol;Acc:MGI:2442408]"
"ENSMUSG00000054204","Alkal2","ALK and LTK ligand 2 [Source:MGI Symbol;Acc:MGI:3697448]"
"ENSMUSG00000054266","Serpinb9d","serine (or cysteine) peptidase inhibitor, clade B, member 9d [Source:MGI Symbol;Acc:MGI:894667]"
"ENSMUSG00000054302","Eapp","E2F-associated phosphoprotein [Source:MGI Symbol;Acc:MGI:1913516]"
"ENSMUSG00000054364","Rhob","ras homolog family member B [Source:MGI Symbol;Acc:MGI:107949]"
"ENSMUSG00000054383","Pnma1","paraneoplastic antigen MA1 [Source:MGI Symbol;Acc:MGI:2180564]"
"ENSMUSG00000054517","Trim65","tripartite motif-containing 65 [Source:MGI Symbol;Acc:MGI:2442815]"
"ENSMUSG00000054519","Zfp867","zinc finger protein 867 [Source:MGI Symbol;Acc:MGI:2681848]"
"ENSMUSG00000054693","Adam10","a disintegrin and metallopeptidase domain 10 [Source:MGI Symbol;Acc:MGI:109548]"
"ENSMUSG00000054792","Klhl18","kelch-like 18 [Source:MGI Symbol;Acc:MGI:2143315]"
"ENSMUSG00000054836","Elp6","elongator acetyltransferase complex subunit 6 [Source:MGI Symbol;Acc:MGI:1919349]"
"ENSMUSG00000054871","Tmem158","transmembrane protein 158 [Source:MGI Symbol;Acc:MGI:1919559]"
"ENSMUSG00000054889","Dsp","desmoplakin [Source:MGI Symbol;Acc:MGI:109611]"
"ENSMUSG00000054894","Dmac2l","distal membrane arm assembly component 2 like [Source:MGI Symbol;Acc:MGI:1915305]"
"ENSMUSG00000055134","9130017K11Rik","RIKEN cDNA 9130017K11 gene [Source:MGI Symbol;Acc:MGI:1926030]"
"ENSMUSG00000055137","Sugct","succinyl-CoA glutarate-CoA transferase [Source:MGI Symbol;Acc:MGI:1923221]"
"ENSMUSG00000055313","Pgbd1","piggyBac transposable element derived 1 [Source:MGI Symbol;Acc:MGI:2441675]"
"ENSMUSG00000055333","Fat2","FAT atypical cadherin 2 [Source:MGI Symbol;Acc:MGI:2685369]"
"ENSMUSG00000055334","Snupn","snurportin 1 [Source:MGI Symbol;Acc:MGI:1913319]"
"ENSMUSG00000055341","Zfp457","zinc finger protein 457 [Source:MGI Symbol;Acc:MGI:2664334]"
"ENSMUSG00000055360","Prl2c5","prolactin family 2, subfamily c, member 5 [Source:MGI Symbol;Acc:MGI:1858413]"
"ENSMUSG00000055480","Zfp458","zinc finger protein 458 [Source:MGI Symbol;Acc:MGI:3040691]"
"ENSMUSG00000055560","Zfp459","zinc finger protein 459 [Source:MGI Symbol;Acc:MGI:3040701]"
"ENSMUSG00000055670","Zzef1","zinc finger, ZZ-type with EF hand domain 1 [Source:MGI Symbol;Acc:MGI:2444286]"
"ENSMUSG00000055720","Ubl7","ubiquitin-like 7 (bone marrow stromal cell-derived) [Source:MGI Symbol;Acc:MGI:1916709]"
"ENSMUSG00000055763","Rybp-ps","RING1 and YY1 binding protein, pseudogene [Source:MGI Symbol;Acc:MGI:3648043]"
"ENSMUSG00000055805","Fmnl1","formin-like 1 [Source:MGI Symbol;Acc:MGI:1888994]"
"ENSMUSG00000055884","Fancm","Fanconi anemia, complementation group M [Source:MGI Symbol;Acc:MGI:2442306]"
"ENSMUSG00000055917","Zfp277","zinc finger protein 277 [Source:MGI Symbol;Acc:MGI:1890393]"
"ENSMUSG00000056031","9330154J02Rik","RIKEN cDNA 9330154J02 gene [Source:MGI Symbol;Acc:MGI:3045244]"
"ENSMUSG00000056032","BC018473","cDNA sequence BC018473 [Source:MGI Symbol;Acc:MGI:3039625]"
"ENSMUSG00000056131","Pgm3","phosphoglucomutase 3 [Source:MGI Symbol;Acc:MGI:97566]"
"ENSMUSG00000056167","Cnot10","CCR4-NOT transcription complex, subunit 10 [Source:MGI Symbol;Acc:MGI:1926143]"
"ENSMUSG00000056267","Cep70","centrosomal protein 70 [Source:MGI Symbol;Acc:MGI:1915371]"
"ENSMUSG00000056271","Lman1l","lectin, mannose-binding 1 like [Source:MGI Symbol;Acc:MGI:2667537]"
"ENSMUSG00000056342","Usp34","ubiquitin specific peptidase 34 [Source:MGI Symbol;Acc:MGI:109473]"
"ENSMUSG00000056457","Prl2c3","prolactin family 2, subfamily c, member 3 [Source:MGI Symbol;Acc:MGI:1341833]"
"ENSMUSG00000056458","Mok","MOK protein kinase [Source:MGI Symbol;Acc:MGI:1336881]"
